32,0.000000,0.000000
38,0.000000,0.000000
45,0.000000,0.000000
53,0.000000,0.000000
64,0.000000,0.000000
76,0.000000,0.000000
90,0.000000,0.000000
107,0.000000,0.000000
128,0.000000,0.000000
152,0.000000,0.000000
181,0.000000,0.000000
215,0.000000,0.000000
256,0.000000,0.000000
304,0.018217,0.000565
362,0.032744,0.000704
430,0.045460,0.001366
512,0.058219,0.001636
608,0.071550,0.002905
724,0.086732,0.003674
861,0.104089,0.005972
1024,0.124420,0.007316
1217,0.148237,0.012045
1448,0.176608,0.015843
1722,0.210178,0.024090
2048,0.250065,0.030029
2435,0.297367,0.047957
2896,0.353687,0.062151
3444,0.420617,0.094435
4096,0.500237,0.120864
4870,0.500236,0.119612
5792,0.500230,0.132698
6888,0.500222,0.124075
8192,0.500181,0.120979
