32,0.000000,0.000000
38,0.073969,0.092461
45,0.078283,0.100505
53,0.077649,0.105225
64,0.108631,0.063492
76,0.242281,0.110351
90,0.330712,0.104619
107,0.391201,0.111973
128,0.428273,0.062992
152,0.462400,0.110927
181,0.485298,0.104512
215,0.497979,0.113215
256,0.506526,0.062745
304,0.513972,0.108791
362,0.520844,0.104230
430,0.524307,0.114138
512,0.525540,0.062622
608,0.527324,0.108623
724,0.529183,0.104338
861,0.530042,0.114346
1024,0.530053,0.062561
1217,0.530872,0.110399
1448,0.530940,0.105105
1722,0.531207,0.114591
2048,0.531065,0.062531
2435,0.531308,0.111647
2896,0.531205,0.108345
3444,0.531352,0.114630
4096,0.531261,0.062515
4870,0.531365,0.111610
5792,0.531279,0.108331
6888,0.531319,0.113292
8192,0.531281,0.062508
