32,0.000000,0.000000
38,0.000000,0.000000
45,0.000000,0.000000
53,0.000000,0.000000
64,0.000000,0.000000
76,0.000000,0.000000
90,0.000000,0.000000
107,0.018868,0.026098
128,0.023438,0.015687
152,0.170268,0.031718
181,0.273511,0.034684
215,0.342447,0.033471
256,0.388159,0.015686
304,0.425786,0.034024
362,0.450674,0.036424
430,0.468190,0.033832
512,0.478439,0.015656
608,0.487747,0.035358
724,0.494278,0.036899
861,0.498421,0.033903
1024,0.500717,0.015640
1217,0.503358,0.036843
1448,0.504741,0.037093
1722,0.505750,0.034089
2048,0.506160,0.015633
2435,0.506896,0.035070
2896,0.507183,0.037091
3444,0.507433,0.033912
4096,0.507459,0.015629
4870,0.507685,0.034969
5792,0.507706,0.036875
6888,0.507783,0.033976
8192,0.507754,0.015627
