Cache_Config,Impl,N,Misses_Per_Item
m65536-b256,smart,724,0.012872
m65536-b256,smart,861,0.012638
m65536-b256,smart,1024,0.006831
m65536-b256,smart,1217,0.013263
m65536-b256,smart,1448,0.013216
m65536-b256,smart,1722,0.012900
m65536-b256,smart,2048,0.007314
m65536-b256,smart,2435,0.013490
m65536-b256,smart,2896,0.013383
m65536-b256,smart,3444,0.013030
m65536-b256,smart,4096,0.007556
m65536-b256,smart,4870,0.013605
m65536-b256,smart,5792,0.013434
m65536-b256,smart,6888,0.013096
m65536-b256,smart,8192,0.007677
m65536-b4096,naive,32,0.000000
m65536-b4096,naive,38,0.000000
m65536-b4096,naive,45,0.000000
m65536-b4096,naive,53,0.000000
m65536-b4096,naive,64,0.000000
m65536-b4096,naive,76,0.000000
m65536-b4096,naive,90,0.000000
m65536-b4096,naive,107,0.000000
m65536-b4096,naive,128,0.000000
m65536-b4096,naive,152,0.000000
m65536-b4096,naive,181,0.000000
m65536-b4096,naive,215,0.000000
m65536-b4096,naive,256,0.000000
m65536-b4096,naive,304,0.018217
m65536-b4096,naive,362,0.032744
m65536-b4096,naive,430,0.045460
m65536-b4096,naive,512,0.058219
m65536-b4096,naive,608,0.071550
m65536-b4096,naive,724,0.086732
m65536-b4096,naive,861,0.104089
m65536-b4096,naive,1024,0.124420
m65536-b4096,naive,1217,0.148237
m65536-b4096,naive,1448,0.176608
m65536-b4096,naive,1722,0.210178
m65536-b4096,naive,2048,0.250065
m65536-b4096,naive,2435,0.297367
m65536-b4096,naive,2896,0.353687
m65536-b4096,naive,3444,0.420617
m65536-b4096,naive,4096,0.500237
m65536-b4096,naive,4870,0.500236
m65536-b4096,naive,5792,0.500230
m65536-b4096,naive,6888,0.500222
m65536-b4096,naive,8192,0.500181
m65536-b4096,smart,32,0.000000
m65536-b4096,smart,38,0.000000
m65536-b4096,smart,45,0.000000
m65536-b4096,smart,53,0.000000
m65536-b4096,smart,64,0.000000
m65536-b4096,smart,76,0.000000
m65536-b4096,smart,90,0.000000
m65536-b4096,smart,107,0.000000
m65536-b4096,smart,128,0.000000
m65536-b4096,smart,152,0.000000
m65536-b4096,smart,181,0.000000
m65536-b4096,smart,215,0.000000
m65536-b4096,smart,256,0.000000
m65536-b4096,smart,304,0.000565
m65536-b4096,smart,362,0.000704
m65536-b4096,smart,430,0.001366
m65536-b4096,smart,512,0.001636
m65536-b4096,smart,608,0.002905
m65536-b4096,smart,724,0.003674
m65536-b4096,smart,861,0.005972
m65536-b4096,smart,1024,0.007316
m65536-b4096,smart,1217,0.012045
m65536-b4096,smart,1448,0.015843
m65536-b4096,smart,1722,0.024090
m65536-b4096,smart,2048,0.030029
m65536-b4096,smart,2435,0.047957
m65536-b4096,smart,2896,0.062151
m65536-b4096,smart,3444,0.094435
m65536-b4096,smart,4096,0.120864
m65536-b4096,smart,4870,0.119612
m65536-b4096,smart,5792,0.132698
m65536-b4096,smart,6888,0.124075
m65536-b4096,smart,8192,0.120979
